Tue Apr 11 14:22:40 2023    ni-5106.profile

         80605181 function calls (77615993 primitive calls) in 205.800 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.011    0.011  206.048  206.048 blueprint.py:135(multiplexer_get)
        1    0.000    0.000  181.348  181.348 api_resource.py:490(find)
        1    0.073    0.073  180.524  180.524 api_resource.py:540(<listcomp>)
70870/7087    3.065    0.000  179.305    0.025 api_resource.py:913(serialise)
    28422    0.382    0.000  150.623    0.005 query.py:2850(__iter__)
28348/21261    0.789    0.000  146.050    0.007 api_resource.py:1394(serialise)
    14174    0.118    0.000  125.025    0.009 dynamic.py:239(__iter__)
56804/28455    0.060    0.000  123.288    0.004 {built-in method builtins.iter}
    35509    0.141    0.000   95.509    0.003 base.py:879(execute)
    35509    0.167    0.000   95.344    0.003 elements.py:261(_execute_on_connection)
    35509    0.619    0.000   95.176    0.003 base.py:1009(_execute_clauseelement)
    28422    0.360    0.000   93.066    0.003 query.py:2872(_execute_and_instances)
28424/28423    0.989    0.000   56.801    0.002 query.py:3348(_compile_context)
    35509    0.188    0.000   54.627    0.002 <string>:1(<lambda>)
    35509    0.217    0.000   54.440    0.002 elements.py:373(compile)
    35509    0.217    0.000   54.222    0.002 elements.py:438(_compiler)
    35509    0.695    0.000   54.006    0.002 compiler.py:376(__init__)
    35509    0.242    0.000   53.234    0.001 compiler.py:177(__init__)
127700/35509    0.369    0.000   52.992    0.001 compiler.py:241(process)
1957648/35509    5.579    0.000   52.850    0.001 visitors.py:75(_compiler_dispatch)
28429/28422    0.918    0.000   52.405    0.002 compiler.py:1649(visit_select)
    35509    1.171    0.000   39.817    0.001 base.py:1104(_execute_context)
28429/28427    1.889    0.000   34.426    0.001 compiler.py:1719(<listcomp>)
    21272    0.640    0.000   32.683    0.002 strategies.py:1382(_create_eager_join)
751727/751725    5.393    0.000   32.537    0.000 compiler.py:1421(_label_select_column)
    21273    0.614    0.000   30.970    0.001 util.py:792(__init__)
3625359/3411332    2.191    0.000   30.550    0.000 {built-in method builtins.getattr}
